Região metropolitana;População residente;População em área urbana;População em área não urbanizada;População em área isolada;Área rural;Aglomerado urbano;Povoado;Núcleo;Outros aglomerados;Código unidade
Manaus  AM;2106322;1972885;3011;;108160;;22266;;;30
Homens;1036676;964041;2018;;59024;;11593;;;30
Mulheres;1069646;1008844;993;;49136;;10673;;;30
Careiro da Várzea;23930;1000;;;21089;;1841;;;1301159
Homens;12688;481;;;11281;;926;;;1301159
Mulheres;11242;519;;;9808;;915;;;1301159
Iranduba;40781;28979;;;10490;;1312;;;1301852
Homens;20996;14662;;;5658;;676;;;1301852
Mulheres;19785;14317;;;4832;;636;;;1301852
Itacoatiara;86839;57863;294;;21947;;6735;;;1301902
Homens;44426;28576;156;;12218;;3476;;;1301902
Mulheres;42413;29287;138;;9729;;3259;;;1301902
Manacapuru;85141;60174;;;19771;;5196;;;1302504
Homens;43461;29977;;;10747;;2737;;;1302504
Mulheres;41680;30197;;;9024;;2459;;;1302504
Manaus;1802014;1790164;2717;;7161;;1972;;;1302603
Homens;879742;872887;1862;;3978;;1015;;;1302603
Mulheres;922272;917277;855;;3183;;957;;;1302603
Novo Airão;14723;9499;;;5224;;;;;1303205
Homens;7607;4752;;;2855;;;;;1303205
Mulheres;7116;4747;;;2369;;;;;1303205
Presidente Figueiredo;27175;13001;;;8964;;5210;;;1303536
Homens;14350;6622;;;4965;;2763;;;1303536
Mulheres;12825;6379;;;3999;;2447;;;1303536
Rio Preto da Eva;25719;12205;;;13514;;;;;1303569
Homens;13406;6084;;;7322;;;;;1303569
Mulheres;12313;6121;;;6192;;;;;1303569
Belém  PA;2101883;2018429;18358;;32172;3702;28766;;456;1
Homens;1005253;961018;9278;;18306;1819;14602;;230;1
Mulheres;1096630;1057411;9080;;13866;1883;14164;;226;1
Ananindeua;471980;464317;6502;;1161;;;;;1500800
Homens;226635;222762;3260;;613;;;;;1500800
Mulheres;245345;241555;3242;;548;;;;;1500800
Belém;1393399;1376423;5052;;5004;;6920;;;1501402
Homens;659008;650275;2585;;2627;;3521;;;1501402
Mulheres;734391;726148;2467;;2377;;3399;;;1501402
Benevides;51651;26204;2708;;6489;3246;13004;;;1501501
Homens;25815;12975;1379;;3342;1599;6520;;;1501501
Mulheres;25836;13229;1329;;3147;1647;6484;;;1501501
Marituba;108246;103027;4096;;667;456;;;;1504422
Homens;53884;51273;2054;;337;220;;;;1504422
Mulheres;54362;51754;2042;;330;236;;;;1504422
Santa Bárbara do Pará;17141;5458;;;4180;;7047;;456;1506351
Homens;8755;2667;;;2231;;3627;;230;1506351
Mulheres;8386;2791;;;1949;;3420;;226;1506351
Santa Isabel do Pará;59466;43000;;;14671;;1795;;;1506500
Homens;31156;21066;;;9156;;934;;;1506500
Mulheres;28310;21934;;;5515;;861;;;1506500
Macapá  AP;499466;475650;4675;;12978;;6163;;;27
Homens;246027;233427;2431;;6971;;3198;;;27
Mulheres;253439;242223;2244;;6007;;2965;;;27
Macapá;398204;377551;3663;;10827;;6163;;;1600303
Homens;195613;184756;1901;;5758;;3198;;;1600303
Mulheres;202591;192795;1762;;5069;;2965;;;1600303
Santana;101262;98099;1012;;2151;;;;;1600600
Homens;50414;48671;530;;1213;;;;;1600600
Mulheres;50848;49428;482;;938;;;;;1600600
Grande São Luís  MA;1331181;995563;26848;75705;36634;177044;19387;;;23
Homens;628967;465463;13013;36228;18764;85614;9885;;;23
Mulheres;702214;530100;13835;39477;17870;91430;9502;;;23
Alcântara;21851;6399;;;7033;;8419;;;2100204
Homens;11258;3214;;;3724;;4320;;;2100204
Mulheres;10593;3185;;;3309;;4099;;;2100204
Paço do Lumiar;105121;3106;;75705;12812;11722;1776;;;2107506
Homens;50910;1536;;36228;6371;5916;859;;;2107506
Mulheres;54211;1570;;39477;6441;5806;917;;;2107506
Raposa;26327;16675;;;1539;8113;;;;2109452
Homens;13121;8327;;;804;3990;;;;2109452
Mulheres;13206;8348;;;735;4123;;;;2109452
São José de Ribamar;163045;37709;;;5572;115193;4571;;;2111201
Homens;78683;18392;;;2922;55051;2318;;;2111201
Mulheres;84362;19317;;;2650;60142;2253;;;2111201
São Luís;1014837;931674;26848;;9678;42016;4621;;;2111300
Homens;474995;433994;13013;;4943;20657;2388;;;2111300
Mulheres;539842;497680;13835;;4735;21359;2233;;;2111300
Sudoeste Maranhense  MA;345873;289015;;;21296;;34254;;1308;2102
Homens;168898;139231;;;11550;;17442;;675;2102
Mulheres;176975;149784;;;9746;;16812;;633;2102
Buritirana;14784;4146;;;2498;;7694;;446;2102358
Homens;7536;2014;;;1348;;3940;;234;2102358
Mulheres;7248;2132;;;1150;;3754;;212;2102358
Davinópolis;12579;10487;;;911;;1181;;;2103752
Homens;6271;5166;;;497;;608;;;2103752
Mulheres;6308;5321;;;414;;573;;;2103752
Governador Edison Lobão;15895;6957;;;3505;;5433;;;2104552
Homens;8152;3500;;;1915;;2737;;;2104552
Mulheres;7743;3457;;;1590;;2696;;;2104552
Imperatriz;247505;234547;;;4837;;8121;;;2105302
Homens;119227;112566;;;2551;;4110;;;2105302
Mulheres;128278;121981;;;2286;;4011;;;2105302
João Lisboa;20381;15336;;;1952;;3093;;;2105500
Homens;9977;7379;;;1044;;1554;;;2105500
Mulheres;10404;7957;;;908;;1539;;;2105500
Montes Altos;9413;5126;;;2901;;524;;862;2107001
Homens;4904;2579;;;1613;;271;;441;2107001
Mulheres;4509;2547;;;1288;;253;;421;2107001
Ribamar Fiquene;7318;3677;;;2290;;1351;;;2109551
Homens;3771;1776;;;1285;;710;;;2109551
Mulheres;3547;1901;;;1005;;641;;;2109551
Senador La Rocque;17998;8739;;;2402;;6857;;;2111763
Homens;9060;4251;;;1297;;3512;;;2111763
Mulheres;8938;4488;;;1105;;3345;;;2111763
Cariri  CE;564478;436326;8573;;110195;;9384;;;2302
Homens;270656;206322;4193;;55471;;4670;;;2302
Mulheres;293822;230004;4380;;54724;;4714;;;2302
Barbalha;55323;38022;;;16786;;515;;;2301901
Homens;26904;18264;;;8398;;242;;;2301901
Mulheres;28419;19758;;;8388;;273;;;2301901
Caririaçu;26393;14031;;;11339;;1023;;;2303204
Homens;12812;6677;;;5646;;489;;;2303204
Mulheres;13581;7354;;;5693;;534;;;2303204
Crato;121428;92343;8573;;17671;;2841;;;2304202
Homens;57616;43092;4193;;8921;;1410;;;2304202
Mulheres;63812;49251;4380;;8750;;1431;;;2304202
Farias Brito;19007;8871;;;8588;;1548;;;2304301
Homens;9329;4197;;;4338;;794;;;2304301
Mulheres;9678;4674;;;4250;;754;;;2304301
Jardim;26688;8994;;;16214;;1480;;;2307106
Homens;13067;4258;;;8083;;726;;;2307106
Mulheres;13621;4736;;;8131;;754;;;2307106
Juazeiro do Norte;249939;240128;;;8905;;906;;;2307304
Homens;118353;113409;;;4472;;472;;;2307304
Mulheres;131586;126719;;;4433;;434;;;2307304
Missão Velha;34274;15419;;;17784;;1071;;;2308401
Homens;16915;7410;;;8968;;537;;;2308401
Mulheres;17359;8009;;;8816;;534;;;2308401
Nova Olinda;14256;9696;;;4560;;;;;2309201
Homens;7020;4688;;;2332;;;;;2309201
Mulheres;7236;5008;;;2228;;;;;2309201
Santana do Cariri;17170;8822;;;8348;;;;;2312106
Homens;8640;4327;;;4313;;;;;2312106
Mulheres;8530;4495;;;4035;;;;;2312106
Fortaleza  CE;3615767;3383886;90095;1133;129676;4843;5182;952;;2
Homens;1724397;1604230;45846;584;68158;2488;2618;473;;2
Mulheres;1891370;1779656;44249;549;61518;2355;2564;479;;2
Aquiraz;72628;26508;39442;1133;5545;;;;;2301000
Homens;37130;13129;20223;584;3194;;;;;2301000
Mulheres;35498;13379;19219;549;2351;;;;;2301000
Cascavel;66142;38997;17160;;9985;;;;;2303501
Homens;32887;18903;8755;;5229;;;;;2303501
Mulheres;33255;20094;8405;;4756;;;;;2303501
Caucaia;325441;277497;12723;;35221;;;;;2303709
Homens;159598;134797;6413;;18388;;;;;2303709
Mulheres;165843;142700;6310;;16833;;;;;2303709
Chorozinho;18915;11426;;;6537;;;952;;2303956
Homens;9600;5725;;;3402;;;473;;2303956
Mulheres;9315;5701;;;3135;;;479;;2303956
Eusébio;46033;41556;4477;;;;;;;2304285
Homens;22951;20731;2220;;;;;;;2304285
Mulheres;23082;20825;2257;;;;;;;2304285
Fortaleza;2452185;2452185;;;;;;;;2304400
Homens;1147918;1147918;;;;;;;;2304400
Mulheres;1304267;1304267;;;;;;;;2304400
Guaiúba;24091;18877;;;5214;;;;;2304954
Homens;12139;9414;;;2725;;;;;2304954
Mulheres;11952;9463;;;2489;;;;;2304954
Horizonte;55187;43575;7474;;4138;;;;;2305233
Homens;27532;21607;3728;;2197;;;;;2305233
Mulheres;27655;21968;3746;;1941;;;;;2305233
Itaitinga;35817;35565;;;252;;;;;2306256
Homens;18288;18146;;;142;;;;;2306256
Mulheres;17529;17419;;;110;;;;;2306256
Maracanaú;209057;207623;;;900;534;;;;2307650
Homens;102078;101354;;;457;267;;;;2307650
Mulheres;106979;106269;;;443;267;;;;2307650
Maranguape;113561;86309;;;23775;1213;2264;;;2307700
Homens;56619;42194;;;12652;633;1140;;;2307700
Mulheres;56942;44115;;;11123;580;1124;;;2307700
Pacajus;61838;47816;2859;;11163;;;;;2309607
Homens;30370;23186;1434;;5750;;;;;2309607
Mulheres;31468;24630;1425;;5413;;;;;2309607
Pacatuba;72299;62095;;;7286;;2918;;;2309706
Homens;35599;30360;;;3761;;1478;;;2309706
Mulheres;36700;31735;;;3525;;1440;;;2309706
Pindoretama;18683;11280;;;7403;;;;;2310852
Homens;9340;5519;;;3821;;;;;2310852
Mulheres;9343;5761;;;3582;;;;;2310852
São Gonçalo do Amarante;43890;22577;5960;;12257;3096;;;;2312403
Homens;22348;11247;3073;;6440;1588;;;;2312403
Mulheres;21542;11330;2887;;5817;1508;;;;2312403
Natal  RN;1351004;1192202;13306;9989;64972;10505;54222;;5808;10
Homens;646259;565095;6697;5002;33648;5265;27456;;3096;10
Mulheres;704745;627107;6609;4987;31324;5240;26766;;2712;10
CearáMirim;68141;35494;;;13183;82;15245;;4137;2402600
Homens;33747;16954;;;6870;36;7674;;2213;2402600
Mulheres;34394;18540;;;6313;46;7571;;1924;2402600
Extremoz;24569;9403;;6366;4241;452;3950;;157;2403608
Homens;12195;4539;;3189;2176;226;1982;;83;2403608
Mulheres;12374;4864;;3177;2065;226;1968;;74;2403608
Macaíba;69467;42631;;;14905;5909;4787;;1235;2407104
Homens;34434;20685;;;7681;3019;2392;;657;2407104
Mulheres;35033;21946;;;7224;2890;2395;;578;2407104
Monte Alegre;20685;9002;;;7042;1124;3517;;;2407807
Homens;10275;4365;;;3619;548;1743;;;2407807
Mulheres;10410;4637;;;3423;576;1774;;;2407807
Natal;803739;803736;3;;;;;;;2408102
Homens;377947;377945;2;;;;;;;2408102
Mulheres;425792;425791;1;;;;;;;2408102
Nísia Floresta;23784;5757;;3623;7579;;6825;;;2408201
Homens;12288;2829;;1813;3980;;3666;;;2408201
Mulheres;11496;2928;;1810;3599;;3159;;;2408201
Parnamirim;202456;202456;;;;;;;;2403251
Homens;96995;96995;;;;;;;;2403251
Mulheres;105461;105461;;;;;;;;2403251
São Gonçalo do Amarante;87668;60796;13303;;4606;1397;7566;;;2412005
Homens;43179;29595;6695;;2403;689;3797;;;2412005
Mulheres;44489;31201;6608;;2203;708;3769;;;2412005
