IBGE;IBGE2;SEF;Municípios
310010;10;1;ABADIA DOS DOURADOS
310020;20;2;ABAETÉ
310030;30;3;ABRE CAMPO
310040;40;4;ACAIACA
310050;50;5;AÇUCENA
310060;60;6;ÁGUA BOA
310070;70;7;ÁGUA COMPRIDA
310080;80;8;AGUANIL
310090;90;9;ÁGUAS FORMOSAS
310100;100;10;ÁGUAS VERMELHAS
310110;110;11;AIMORÉS
310120;120;12;AIURUOCA
310130;130;13;ALAGOA
310140;140;14;ALBERTINA
310150;150;15;ALÉM PARAÍBA
310160;160;16;ALFENAS
310163;163;724;ALFREDO VASCONCELOS
310170;170;17;ALMENARA
310180;180;18;ALPERCATA
310190;190;19;ALPINÓPOLIS
310200;200;20;ALTEROSA
310205;205;769;ALTO CAPARAÓ
315350;5350;535;ALTO JEQUITIBÁ
310210;210;21;ALTO RIO DOCE
310220;220;22;ALVARENGA
310230;230;23;ALVINÓPOLIS
310240;240;24;ALVORADA DE MINAS
310250;250;25;AMPARO DO SERRA
310260;260;26;ANDRADAS
310280;280;28;ANDRELÂNDIA
310285;285;770;ANGELÂNDIA
310290;290;29;ANTÔNIO CARLOS
310300;300;30;ANTÔNIO DIAS
310310;310;31;ANTÔNIO PRADO DE MINAS
310320;320;32;ARAÇAÍ
310330;330;33;ARACITABA
310340;340;34;ARAÇUAÍ
310350;350;35;ARAGUARI
310360;360;36;ARANTINA
310370;370;37;ARAPONGA
310375;375;725;ARAPORÃ
310380;380;38;ARAPUÁ
310390;390;39;ARAÚJOS
310400;400;40;ARAXÁ
310410;410;41;ARCEBURGO
310420;420;42;ARCOS
310430;430;43;AREADO
310440;440;44;ARGIRITA
310445;445;771;ARICANDUVA
310450;450;45;ARINOS
310460;460;46;ASTOLFO DUTRA
310470;470;47;ATALÉIA
310480;480;48;AUGUSTO DE LIMA
310490;490;49;BAEPENDI
310500;500;50;BALDIM
310510;510;51;BAMBUÍ
310520;520;52;BANDEIRA
310530;530;53;BANDEIRA DO SUL
310540;540;54;BARÃO DE COCAIS
310550;550;55;BARÃO DE MONTE ALTO
310560;560;56;BARBACENA
310570;570;57;BARRA LONGA
310590;590;59;BARROSO
310600;600;60;BELA VISTA DE MINAS
310610;610;61;BELMIRO BRAGA
310620;620;62;BELO HORIZONTE
310630;630;63;BELO ORIENTE
310640;640;64;BELO VALE
310650;650;65;BERILO
310665;665;772;BERIZAL
310660;660;66;BERTÓPOLIS
310670;670;67;BETIM
310680;680;68;BIAS FORTES
310690;690;69;BICAS
310700;700;70;BIQUINHAS
310710;710;71;BOA ESPERANÇA
310720;720;72;BOCAINA DE MINAS
310730;730;73;BOCAIÚVA
310740;740;74;BOM DESPACHO
310750;750;75;BOM JARDIM DE MINAS
310760;760;76;BOM JESUS DA PENHA
310770;770;77;BOM JESUS DO AMPARO
310780;780;78;BOM JESUS DO GALHO
310790;790;79;BOM REPOUSO
310800;800;80;BOM SUCESSO
310810;810;81;BONFIM
310820;820;82;BONFINÓPOLIS DE MINAS
310825;825;773;BONITO DE MINAS
310830;830;83;BORDA DA MATA
310840;840;84;BOTELHOS
310850;850;85;BOTUMIRIM
310870;870;87;BRÁS PIRES
310855;855;774;BRASILÂNDIA DE MINAS
310860;860;86;BRASÍLIA DE MINAS
310890;890;89;BRASÓPOLIS
310880;880;88;BRAÚNAS
310900;900;90;BRUMADINHO
310910;910;91;BUENO BRANDÃO
310920;920;92;BUENÓPOLIS
310925;925;775;BUGRE
310930;930;93;BURITIS
310940;940;94;BURITIZEIRO
310945;945;776;CABECEIRA GRANDE
310950;950;95;CABO VERDE
310960;960;96;CACHOEIRA DA PRATA
310970;970;97;CACHOEIRA DE MINAS
310270;270;27;CACHOEIRA DE PAJEÚ
310980;980;98;CACHOEIRA DOURADA
310990;990;99;CAETANÓPOLIS
311000;1000;100;CAETÉ
311010;1010;101;CAIANA
311020;1020;102;CAJURI
311030;1030;103;CALDAS
311040;1040;104;CAMACHO
311050;1050;105;CAMANDUCAIA
311060;1060;106;CAMBUÍ
311070;1070;107;CAMBUQUIRA
311080;1080;108;CAMPANÁRIO
311090;1090;109;CAMPANHA
311100;1100;110;CAMPESTRE
311110;1110;111;CAMPINA VERDE
311115;1115;777;CAMPO AZUL
311120;1120;112;CAMPO BELO
311130;1130;113;CAMPO DO MEIO
311140;1140;114;CAMPO FLORIDO
311150;1150;115;CAMPOS ALTOS
311160;1160;116;CAMPOS GERAIS
311190;1190;119;CANA VERDE
311170;1170;117;CANAÃ
311180;1180;118;CANÁPOLIS
311200;1200;120;CANDEIAS
311205;1205;778;CANTAGALO
311210;1210;121;CAPARAÓ
311220;1220;122;CAPELA NOVA
311230;1230;123;CAPELINHA
311240;1240;124;CAPETINGA
311250;1250;125;CAPIM BRANCO
311260;1260;126;CAPINÓPOLIS
311265;1265;727;CAPITÃO ANDRADE
311270;1270;127;CAPITÃO ENÉAS
311280;1280;128;CAPITÓLIO
311290;1290;129;CAPUTIRA
311300;1300;130;CARAÍ
311310;1310;131;CARANAÍBA
311320;1320;132;CARANDAÍ
311330;1330;133;CARANGOLA
311340;1340;134;CARATINGA
311350;1350;135;CARBONITA
311360;1360;136;CAREAÇU
311370;1370;137;CARLOS CHAGAS
311380;1380;138;CARMÉSIA
311390;1390;139;CARMO DA CACHOEIRA
311400;1400;140;CARMO DA MATA
311410;1410;141;CARMO DE MINAS
311420;1420;142;CARMO DO CAJURU
311430;1430;143;CARMO DO PARANAÍBA
311440;1440;144;CARMO DO RIO CLARO
311450;1450;145;CARMÓPOLIS DE MINAS
311455;1455;728;CARNEIRINHO
311460;1460;146;CARRANCAS
311470;1470;147;CARVALHÓPOLIS
311480;1480;148;CARVALHOS
311490;1490;149;CASA GRANDE
311500;1500;150;CASCALHO RICO
311510;1510;151;CÁSSIA
311530;1530;153;CATAGUASES
311535;1535;779;CATAS ALTAS
311540;1540;154;CATAS ALTAS DA NORUEGA
311545;1545;729;CATUJI
311547;1547;780;CATUTI
311550;1550;155;CAXAMBU
311560;1560;156;CEDRO DO ABAETÉ
311570;1570;157;CENTRAL DE MINAS
311580;1580;158;CENTRALINA
311590;1590;159;CHÁCARA
311600;1600;160;CHALÉ
311610;1610;161;CHAPADA DO NORTE
311615;1615;781;CHAPADA GAÚCHA
311620;1620;162;CHIADOR
311630;1630;163;CIPOTÂNEA
311640;1640;164;CLARAVAL
311650;1650;165;CLARO DOS POÇÕES
311660;1660;166;CLÁUDIO
311670;1670;167;COIMBRA
311680;1680;168;COLUNA
311690;1690;169;COMENDADOR GOMES
311700;1700;170;COMERCINHO
311710;1710;171;CONCEIÇÃO DA APARECIDA
311520;1520;152;CONCEIÇÃO DA BARRA DE MINAS
311730;1730;172;CONCEIÇÃO DAS ALAGOAS
311720;1720;173;CONCEIÇÃO DAS PEDRAS
311740;1740;174;CONCEIÇÃO DE IPANEMA
311750;1750;175;CONCEIÇÃO DO MATO DENTRO
311760;1760;176;CONCEIÇÃO DO PARÁ
311770;1770;177;CONCEIÇÃO DO RIO VERDE
311780;1780;178;CONCEIÇÃO DOS OUROS
311783;1783;782;CÔNEGO MARINHO
311787;1787;783;CONFINS
311790;1790;179;CONGONHAL
311800;1800;180;CONGONHAS
311810;1810;181;CONGONHAS DO NORTE
311820;1820;182;CONQUISTA
