Mes;FBCF
01/01/1996;82,58
01/02/1996;92,74
01/03/1996;103,41
01/04/1996;99,41
01/05/1996;103,29
01/06/1996;100,84
01/07/1996;108,9
01/08/1996;105,9
01/09/1996;100,98
01/10/1996;105,39
01/11/1996;103,7
01/12/1996;107,2
01/01/1997;94,36
01/02/1997;104,63
01/03/1997;111,13
01/04/1997;114,55
01/05/1997;107,56
01/06/1997;113,91
01/07/1997;118,96
01/08/1997;108,9
01/09/1997;114,8
01/10/1997;113,5
01/11/1997;106,94
01/12/1997;107,33
01/01/1998;103,02
01/02/1998;99,34
01/03/1998;118,57
01/04/1998;113,94
01/05/1998;115,54
01/06/1998;113,77
01/07/1998;118,13
01/08/1998;106,86
01/09/1998;113,52
01/10/1998;107,99
01/11/1998;104,59
01/12/1998;99,14
01/01/1999;93,79
01/02/1999;95,38
01/03/1999;104,82
01/04/1999;96,65
01/05/1999;103,05
01/06/1999;107,84
01/07/1999;100,19
01/08/1999;100,69
01/09/1999;99,22
01/10/1999;98,01
01/11/1999;99,04
01/12/1999;99,09
01/01/2000;88,77
01/02/2000;100,17
01/03/2000;104,15
01/04/2000;101,44
01/05/2000;110,05
01/06/2000;108,05
01/07/2000;105,21
01/08/2000;110,38
01/09/2000;104,89
01/10/2000;105,11
01/11/2000;109,17
01/12/2000;108,02
01/01/2001;105,98
01/02/2001;102,38
01/03/2001;114,76
01/04/2001;106,2
01/05/2001;115,49
01/06/2001;104,37
01/07/2001;109,87
01/08/2001;112,4
01/09/2001;102,04
01/10/2001;103,84
01/11/2001;99,63
01/12/2001;94,84
01/01/2002;95,56
01/02/2002;94,48
01/03/2002;107,45
01/04/2002;106,79
01/05/2002;105,03
01/06/2002;100,29
01/07/2002;110,93
01/08/2002;106,05
01/09/2002;105,87
01/10/2002;108,54
01/11/2002;105,91
01/12/2002;106,52
01/01/2003;105,42
01/02/2003;101,34
01/03/2003;100,02
01/04/2003;100,33
01/05/2003;96,88
01/06/2003;93,59
01/07/2003;98,7
01/08/2003;98,03
01/09/2003;103,89
01/10/2003;105,47
01/11/2003;103,33
01/12/2003;96,48
01/01/2004;97,93
01/02/2004;98,35
01/03/2004;113,3
01/04/2004;108,35
01/05/2004;108,76
01/06/2004;108,41
01/07/2004;113,49
01/08/2004;114,95
01/09/2004;114,79
01/10/2004;108,51
01/11/2004;116,76
01/12/2004;102
01/01/2005;103,16
01/02/2005;99,1
01/03/2005;111,54
01/04/2005;107,56
01/05/2005;112,69
01/06/2005;115,2
01/07/2005;111,33
01/08/2005;119,52
01/09/2005;115,36
01/10/2005;110,42
01/11/2005;113,98
01/12/2005;111,3
01/01/2006;110,21
01/02/2006;107,44
01/03/2006;123,75
01/04/2006;109,07
01/05/2006;121,28
01/06/2006;117,19
01/07/2006;120,9
01/08/2006;125,26
01/09/2006;119,98
01/10/2006;123,69
01/11/2006;123,62
01/12/2006;117,44
01/01/2007;119,85
01/02/2007;115,74
01/03/2007;130,4
01/04/2007;123,52
01/05/2007;136,11
01/06/2007;131,12
01/07/2007;138,41
01/08/2007;146,49
01/09/2007;133,33
01/10/2007;144,09
01/11/2007;139,12
01/12/2007;131,33
01/01/2008;136,78
01/02/2008;132,72
01/03/2008;140,52
01/04/2008;143,7
01/05/2008;148,49
01/06/2008;151,84
01/07/2008;164,21
01/08/2008;166,97
01/09/2008;162,14
01/10/2008;169
01/11/2008;142,07
01/12/2008;126,39
01/01/2009;121,5
01/02/2009;115,46
01/03/2009;134,15
01/04/2009;128,87
01/05/2009;137,65
01/06/2009;140,72
01/07/2009;152,46
01/08/2009;158,97
01/09/2009;162,87
01/10/2009;169,01
01/11/2009;166,07
01/12/2009;159,01
01/01/2010;152,79
01/02/2010;151,02
01/03/2010;174,92
01/04/2010;160,47
01/05/2010;169,89
01/06/2010;170,24
01/07/2010;175,52
01/08/2010;184,77
01/09/2010;186,39
01/10/2010;179,1
01/11/2010;182,98
01/12/2010;170,53
01/01/2011;163,57
01/02/2011;173,29
01/03/2011;181,25
01/04/2011;170,43
01/05/2011;189,68
01/06/2011;181,19
01/07/2011;188,64
01/08/2011;199,54
01/09/2011;189,99
01/10/2011;188,33
01/11/2011;191,18
01/12/2011;182,19
01/01/2012;172,48
01/02/2012;173,88
01/03/2012;188,04
01/04/2012;176,42
01/05/2012;191,28
01/06/2012;179,62
01/07/2012;186,93
01/08/2012;198,01
01/09/2012;184,64
01/10/2012;198,7
01/11/2012;189,92
01/12/2012;176,5
01/01/2013;181,65
01/02/2013;177,41
01/03/2013;191,13
01/04/2013;202,38
01/05/2013;199,23
01/06/2013;192,17
01/07/2013;198,6
01/08/2013;207,74
01/09/2013;205,1
01/10/2013;214,12
01/11/2013;200,16
01/12/2013;175,89
01/01/2014;192,91
01/02/2014;190,75
01/03/2014;189,41
01/04/2014;188,22
01/05/2014;192,73
01/06/2014;174,84
01/07/2014;184,2
01/08/2014;188,31
01/09/2014;193,39
01/10/2014;200,09
01/11/2014;187,11
01/12/2014;164,53
01/01/2015;173,26
01/02/2015;164,87
01/03/2015;180,93
01/04/2015;165,64
01/05/2015;166,74
01/06/2015;155,36
01/07/2015;164,19
01/08/2015;160,75
01/09/2015;156,51
01/10/2015;161,52
01/11/2015;154,17
01/12/2015;129,26
01/01/2016;140,95
01/02/2016;135,12
01/03/2016;145,5
01/04/2016;138,93
01/05/2016;141,47
01/06/2016;154,9
01/07/2016;140,87
01/08/2016;146,81
01/09/2016;142,8
01/10/2016;143,41
01/11/2016;137,19
01/12/2016;130,73
01/01/2017;130,79
01/02/2017;129,73
01/03/2017;139,63
01/04/2017;126,86
