Data;PIB;PIB_acumulado;Divida_liq_perc;FBCF;Faturamento_indus
01/01/2005;163540,1;100;42,26;103,16;101,7
01/02/2005;160701,6;98,26434006;42,66;99,1;98,9
01/03/2005;175468,7;107,2939909;43,06;111,54;98,3
01/04/2005;177179;108,3397894;42,49;107,56;107,1
01/05/2005;177496,7;108,5340537;42,41;112,69;100,5
01/06/2005;180881,8;110,6039436;42,84;115,2;103,5
01/07/2005;184073,7;112,5556973;43,2;111,33;99,8
01/08/2005;187246,6;114,4958331;43,15;119,52;97
01/09/2005;181538,9;111,0057411;43,16;115,36;96,1
01/10/2005;189183;115,6798852;43,58;110,42;95,8
01/11/2005;194794,5;119,1111538;44,01;113,98;100,3
01/12/2005;198480;121,3647295;44,79;111,3;99,8
01/01/2006;185564,8;113,4674615;45,26;110,21;100,1
01/02/2006;178482,2;109,1366582;45,6;107,44;97
01/03/2006;190223,3;116,3159983;45,89;123,75;98
01/04/2006;185030,6;113,1408138;45,8;109,07;99,7
01/05/2006;197874,3;120,9943616;46,04;121,28;101,4
01/06/2006;199071,9;121,7266591;46,03;117,19;98,6
01/07/2006;206974,4;126,5588073;46,36;120,9;100
01/08/2006;209818;128,2975857;46,58;125,26;99,3
01/09/2006;201055,4;122,9395115;46,74;119,98;100,8
01/10/2006;214271,7;131,0208933;46,77;123,69;100,6
01/11/2006;219724,2;134,354938;46,97;123,62;102,6
01/12/2006;221359,3;135,354754;47,64;117,44;102,7
01/01/2007;211130,7;129,1002635;47,53;119,85;104,2
01/02/2007;202704,1;123,9476434;48,29;115,74;102
01/03/2007;217588,9;133,0492644;48,9;130,4;105,4
01/04/2007;215128,8;131,544985;49,19;123,52;102,9
01/05/2007;226537,9;138,5213168;50,21;136,11;107,5
01/06/2007;228988,6;140,0198483;50,49;131,12;108,2
01/07/2007;233824,1;142,9766155;49,85;138,41;106,4
01/08/2007;235019,1;143,7073232;49,76;146,49;107,3
01/09/2007;223002,7;136,3596451;49,75;133,33;106,7
01/10/2007;241939,4;147,9388847;49,74;144,09;108,6
01/11/2007;241938,4;147,9382732;49,96;139,12;111
01/12/2007;242460,2;148,2573387;50,47;131,33;110,9
01/01/2008;237247,7;145,070047;49,88;136,78;115,5
01/02/2008;232680,4;142,2772763;49,7;132,72;115,6
01/03/2008;242124,4;148,0520068;49,08;140,52;112,2
01/04/2008;248793,8;152,1301503;48,67;143,7;115,8
01/05/2008;254936,9;155,8864768;48,61;148,49;114,3
01/06/2008;265791,2;162,5235646;48,31;151,84;116,6
01/07/2008;278095,6;170,0473462;47,7;164,21;118,8
01/08/2008;269235,6;164,6297147;47,25;166,97;112
01/09/2008;265271,2;162,2055997;46,6;162,14;114,3
01/10/2008;280522,5;171,5313247;46,03;169;112,9
01/11/2008;270698,8;165,5244188;45,86;142,07;104,3
01/12/2008;264404,8;161,6758214;46,27;126,39;103,5
01/01/2009;249934,4;152,827594;46,28;121,5;103,5
01/02/2009;244024,5;149,2138625;46,37;115,46;101,4
01/03/2009;262181,7;160,3164606;46,28;134,15;108,8
01/04/2009;259563,5;158,7155077;46,18;128,87;103,2
01/05/2009;268324;164,0722979;46,35;137,65;106
01/06/2009;275701,2;168,5832404;46,55;140,72;109,4
01/07/2009;285444,2;174,5408007;47;152,46;108,6
01/08/2009;284240,4;173,8047121;46,97;158,97;107,6
01/09/2009;283157,9;173,1427949;47,37;162,87;109,8
01/10/2009;301895,9;184,6005353;47,31;169,01;112,1
01/11/2009;305048,8;186,5284416;47,01;166,07;111
01/12/2009;313522,8;191,7100454;46,74;159,01;116,5
01/01/2010;288972,8;176,6984367;46,07;152,79;113,7
01/02/2010;285723,2;174,7114011;45,85;151,02;112,9
01/03/2010;311651,6;190,5658612;45,81;174,92;121,6
01/04/2010;307083,5;187,7726013;45,03;160,47;115
01/05/2010;315988,4;193,2176879;44,83;169,89;118,2
01/06/2010;321023,2;196,2963212;44,6;170,24;118,3
01/07/2010;332454,2;203,2860442;44,53;175,52;121,6
01/08/2010;334225,6;204,3692036;44,09;184,77;119,1
01/09/2010;331255,9;202,5533187;43,66;186,39;121,2
01/10/2010;344963,8;210,9352997;43,74;179,1;118,9
01/11/2010;356707,5;218,1162296;43,64;182,98;121,6
01/12/2010;355797,4;217,55973;42,94;170,53;120,7
01/01/2011;333255,6;203,7760769;42,95;163,57;120,7
01/02/2011;334982;204,8317202;43,23;173,29;126,2
01/03/2011;347879,6;212,7182263;43,38;181,25;120,6
01/04/2011;349049,3;213,4334637;43,19;170,43;121,9
01/05/2011;366256,2;223,9549811;43,15;189,68;122,3
01/06/2011;370951,2;226,8258366;42,95;181,19;121,3
01/07/2011;373143,3;228,1662418;42,93;188,64;123,3
01/08/2011;376769,3;230,383435;42,94;199,54;121,5
01/09/2011;361724,6;221,1840399;42,82;189,99;123,3
01/10/2011;378491;231,4362043;42,76;188,33;123,8
01/11/2011;389560,8;238,2050641;42,52;191,18;124,4
01/12/2011;391595,1;239,4489792;42,53;182,19;122,2
01/01/2012;367215,4;224,5415039;42,15;172,48;121,1
01/02/2012;367177,3;224,5182068;42,01;173,88;120,3
01/03/2012;392996,5;240,3058944;42,01;188,04;123,1
01/04/2012;381795,3;233,4566874;41,89;176,42;120,4
01/05/2012;400281,3;244,7603371;41,77;191,28;122,5
01/06/2012;398714,5;243,8022846;41,71;179,62;124,9
01/07/2012;414617,4;253,526444;41,59;186,93;123,7
01/08/2012;419906,3;256,760452;41,51;198,01;127,5
01/09/2012;393524,7;240,6288733;41,4;184,64;124,4
01/10/2012;422672,1;258,451658;40,99;198,7;126,2
01/11/2012;423816,4;259,1513641;41,05;189,92;127,1
01/12/2012;423195,9;258,7719465;40,29;176,5;130,4
01/01/2013;414131,8;253,2295137;39,81;181,65;127,8
01/02/2013;398645,4;243,7600319;40,02;177,41;122,5
01/03/2013;427409,8;261,3486234;40,11;191,13;128
01/04/2013;438856,8;268,3481299;39,72;202,38;132
01/05/2013;439054,2;268,4688342;39,6;199,23;128,6
01/06/2013;442857;270,7941355;39,34;192,17;131,3
01/07/2013;458458,9;280,3342422;39,14;198,6;129,3
01/08/2013;452862,2;276,9120234;39,02;207,74;132,4
01/09/2013;438766,7;268,2930364;38,78;205,1;130,1
01/10/2013;466166;285,046909;38,67;214,12;127,5
01/11/2013;465693,8;284,7581725;38,22;200,16;128,2
01/12/2013;473552,5;289,5635382;38,12;175,89;127,3
01/01/2014;455935;278,790951;37,86;192,91;129,4
01/02/2014;450358,8;275,3812673;37,51;190,75;132,5
01/03/2014;462159,8;282,5972346;37,16;189,41;124,1
01/04/2014;468767,5;286,6376503;36,81;188,22;128,8
01/05/2014;473347,1;289,4379421;37,09;192,73;128,6
01/06/2014;458516,5;280,3694629;37,08;174,84;121,5
01/07/2014;481994;294,7252692;37,47;184,2;123,3
01/08/2014;477052,9;291,7039307;37,54;188,31;123,9
01/09/2014;476520,6;291,3784448;38,16;193,39;126
01/10/2014;493304,7;301,6414323;37,95;200,09;128,2
01/11/2014;489484,4;299,3054303;38,35;187,11;125,9
01/12/2014;499867,7;305,6545153;39,42;164,53;123,8
01/01/2015;472913,9;289,173053;38,81;173,26;121,9
01/02/2015;460156,7;281,3723974;39,49;164,87;121,7
01/03/2015;501752,2;306,8068321;40,08;180,93;123,1
01/04/2015;486614,6;297,5506313;39,62;165,64;116,5
01/05/2015;483239,7;295,4869784;40,46;166,74;116,9
01/06/2015;486647,5;297,5707487;40,86;155,36;114,5
01/07/2015;502275,2;307,1266313;42,11;164,19;114,6
01/08/2015;492505,7;301,1528671;42,89;160,75;114,6
01/09/2015;496004,7;303,2924035;44,1;156,51;114,6
01/10/2015;518828,9;317,2487359;44,68;161,52;112,1
