"name";"state";"state_code";"type";"in_state_tuition";"early_career_pay"
"Adams State University";"Colorado";"CO";"Public";9440;44400
"Adventist University of Health Sciences";"Florida";"FL";"Private";15150;51600
"Agnes Scott College";"Georgia";"GA";"Private";41160;46000
"Alabama State University";"Alabama";"AL";"Public";11068;39800
"Alaska Pacific University";"Alaska";"AK";"Private";20830;50300
"Albany College of Pharmacy and Health Sciences";"New York";"NY";"Private";35105;81000
"Albertus Magnus College";"Connecticut";"CT";"Private";32060;49700
"Albion College";"Michigan";"MI";"Private";45775;52100
"Alcorn State University";"Mississippi";"MS";"Public";7144;40900
"Allen College";"Iowa";"IA";"Private";19970;51600
"Alma College";"Michigan";"MI";"Private";40258;48400
"Amberton University";"Texas";"TX";"Private";12840;52800
"Amherst College";"Massachusetts";"MA";"Private";56426;63800
"Amridge University";"Alabama";"AL";"Private";6900;35700
"Andrews University";"Michigan";"MI";"Private";29288;47600
"Appalachian State University";"North Carolina";"NC";"Public";7214;46600
"Arizona Christian University";"Arizona";"AZ";"Private";26796;42600
"Arkansas Tech University";"Arkansas";"AR";"Public";9068;45000
"Armstrong State University";"Georgia";"GA";"Public";6384;46600
"Asbury University";"Kentucky";"KY";"Private";30198;39400
"Athens State University";"Alabama";"AL";"Public";6810;45000
"Auburn University";"Alabama";"AL";"Public";11276;54400
"Auburn University at Montgomery";"Alabama";"AL";"Public";10288;45000
"Augsburg University";"Minnesota";"MN";"Private";38800;50500
"Augusta University";"Georgia";"GA";"Public";10758;47000
"Augustana University";"South Dakota";"SD";"Private";33018;47900
"Austin Peay State University";"Tennessee";"TN";"Public";8411;44200
"Avila University";"Missouri";"MO";"Private";19900;45900
"Babson College";"Massachusetts";"MA";"Private";51104;72000
"Baker University";"Kansas";"KS";"Private";29830;47800
"Ball State University";"Indiana";"IN";"Public";9896;45600
"Barnard College";"New York";"NY";"Private";55032;59200
"Barry University";"Florida";"FL";"Private";29850;47400
"Barton College";"North Carolina";"NC";"Private";30880;42400
"Bastyr University";"Washington";"WA";"Private";26166;48400
"Bates College";"Maine";"ME";"Private";53794;59500
"Baylor University";"Texas";"TX";"Private";45727;55500
"Belhaven University";"Mississippi";"MS";"Private";25300;41200
"Bellarmine University";"Kentucky";"KY";"Private";42200;49000
"Bellevue College";"Washington";"WA";"Public";4258;50100
"Bellevue University";"Nebraska";"NE";"Private";9390;49400
"Bellin College";"Wisconsin";"WI";"Private";22178;55800
"Belmont Abbey College";"North Carolina";"NC";"Private";18500;46700
"Belmont University";"Tennessee";"TN";"Private";34310;47300
"Beloit College";"Wisconsin";"WI";"Private";50040;47400
"Benedict College";"South Carolina";"SC";"Private";16600;38100
"Benedictine College";"Kansas";"KS";"Private";29530;48700
"Bennington College";"Vermont";"VT";"Private";54360;48800
"Bentley University";"Massachusetts";"MA";"Private";49880;66600
"Berea College";"Kentucky";"KY";"Private";39990;39500
"Berry College";"Georgia";"GA";"Private";36556;44900
"Black Hills State University";"South Dakota";"SD";"Public";8733;40400
"Bloomfield College";"New Jersey";"NJ";"Private";29550;48400
"Bluefield State College";"West Virginia";"WV";"Public";8820;43200
"Boise State University";"Idaho";"ID";"Public";7694;50100
"Boston College";"Massachusetts";"MA";"Private";55464;63600
"Boston University";"Massachusetts";"MA";"Private";53948;61400
"Bowdoin College";"Maine";"ME";"Private";53922;61300
"Bowie State University";"Maryland";"MD";"Public";8233;50300
"Bradley University";"Illinois";"IL";"Private";33760;55600
"Brandeis University";"Massachusetts";"MA";"Private";55395;60600
"Brescia University";"Kentucky";"KY";"Private";22400;44300
"Brigham Young University-Hawaii";"Hawaii";"HI";"Private";5560;51700
"Brigham Young University-Idaho";"Idaho";"ID";"Private";4118;53700
"Brown University";"Rhode Island";"RI";"Private";55656;68200
"Bryant University";"Rhode Island";"RI";"Private";43973;60500
"Bucknell University";"Pennsylvania";"PA";"Private";56092;66700
"Butler University";"Indiana";"IN";"Private";41120;51800
"California Institute of Technology";"California";"CA";"Private";52362;84100
"Calvin College";"Michigan";"MI";"Private";34600;50200
"Cameron University";"Oklahoma";"OK";"Public";6450;43900
"Campbell University";"North Carolina";"NC";"Private";32500;46300
"Campbellsville University";"Kentucky";"KY";"Private";25400;37600
"Capitol Technology University";"Maryland";"MD";"Private";25428;67400
