IBGE;IBGE2;Município;Regiao_intermediaria;PIB;Classificacao;Regiao
314590;3145901;Ouro Branco;Barbacena; 3358282,87; 1; 1
310560;3105608;Barbacena;Barbacena; 2683459,07; 1; 1
311830;3118304;Conselheiro Lafaiete;Barbacena; 2125977,23; 2; 1
316250;3162500;São João del Rei;Barbacena; 2033658,53; 2; 1
311800;3118007;Congonhas;Barbacena; 1646173,88; 3; 1
313540;3135407;Jeceaba;Barbacena;  769956,73; 3; 1
311320;3113206;Carandaí;Barbacena;  499029,14; 4; 1
310590;3105905;Barroso;Barbacena;  385190,23; 4; 1
312300;3123007;Dores de Campos;Barbacena;  271130,89; 5; 1
314450;3144508;Nazareno;Barbacena;  205121,14; 5; 1
313740;3137403;Lagoa Dourada;Barbacena;  202557,44;NA; 1
312390;3123908;Entre Rios de Minas;Barbacena;  180657,12;NA; 1
315440;3154408;Ressaquinha;Barbacena;  171678,62;NA; 1
316530;3165305;São Vicente de Minas;Barbacena;  163124,98;NA; 1
310210;3102100;Alto Rio Doce;Barbacena;  162094,00;NA; 1
316500;3165008;São Tiago;Barbacena;  161468,70;NA; 1
315080;3150802;Piranga;Barbacena;  159904,30;NA; 1
313910;3139102;Madre de Deus de Minas;Barbacena;  157368,79;NA; 1
315420;3154200;Resende Costa;Barbacena;  154918,89;NA; 1
316880;3168804;Tiradentes;Barbacena;  154746,58;NA; 1
315270;3152709;Prados;Barbacena;  152106,14;NA; 1
310640;3106408;Belo Vale;Barbacena;  146387,35;NA; 1
310290;3102902;Antônio Carlos;Barbacena;  140944,25;NA; 1
312140;3121407;Desterro de Entre Rios;Barbacena;  118741,70;NA; 1
315733;3157336;Santa Cruz de Minas;Barbacena;   88446,64;NA; 1
310163;3101631;Alfredo Vasconcelos;Barbacena;   84166,04;NA; 1
316620;3166204;Senhora dos Remédios;Barbacena;   79277,49;NA; 1
312040;3120409;Cristiano Otoni;Barbacena;   77099,83;NA; 1
315030;3150307;Piedade do Rio Grande;Barbacena;   73855,82;NA; 1
315610;3156106;Ritápolis;Barbacena;   69121,76;NA; 1
316600;3166006;Senhora de Oliveira;Barbacena;   68282,56;NA; 1
312940;3129400;Ibertioga;Barbacena;   65198,66;NA; 1
311490;3114907;Casa Grande;Barbacena;   60550,26;NA; 1
315940;3159407;Santa Rita de Ibitipoca;Barbacena;   56794,07;NA; 1
315730;3157302;Santa Bárbara do Tugúrio;Barbacena;   56008,32;NA; 1
316090;3160900;São Brás do Suaçuí;Barbacena;   51229,63;NA; 1
311220;3112208;Capela Nova;Barbacena;   48564,41;NA; 1
313390;3133907;Itaverava;Barbacena;   48365,27;NA; 1
311630;3116308;Cipotânea;Barbacena;   48158,75;NA; 1
311970;3119708;Coronel Xavier Chaves;Barbacena;   47191,17;NA; 1
315520;3155207;Rio Espera;Barbacena;   46685,98;NA; 1
311520;3115201;Conceição da Barra de Minas;Barbacena;   42766,65;NA; 1
313790;3137908;Lamim;Barbacena;   40225,40;NA; 1
311540;3115409;Catas Altas da Noruega;Barbacena;   35734,22;NA; 1
312150;3121506;Desterro do Melo;Barbacena;   34825,12;NA; 1
315910;3159100;Santana dos Montes;Barbacena;   32715,19;NA; 1
311310;3113107;Caranaíba;Barbacena;   31368,10;NA; 1
315380;3153806;Queluzito;Barbacena;   29156,66;NA; 1
315870;3158706;Santana do Garambéu;Barbacena;   28654,46;NA; 1
310620;3106200;Belo Horizonte;Belo Horizonte;88951167,81; 1; 2
311860;3118601;Contagem;Belo Horizonte;28988053,32; 1; 2
310670;3106705;Betim;Belo Horizonte;23088152,51; 2; 2
314480;3144805;Nova Lima;Belo Horizonte; 9112333,29; 2; 2
316720;3167202;Sete Lagoas;Belo Horizonte; 8262636,15; 3; 2
313170;3131703;Itabira;Belo Horizonte; 5220378,29; 3; 2
314610;3146107;Ouro Preto;Belo Horizonte; 4644423,45; 4; 2
313190;3131901;Itabirito;Belo Horizonte; 3938104,21; 4; 2
315460;3154606;Ribeirão das Neves;Belo Horizonte; 3855401,23; 5; 2
315780;3157807;Santa Luzia;Belo Horizonte; 3785137,87; 5; 2
314000;3140001;Mariana;Belo Horizonte; 2897514,66;NA; 2
317120;3171204;Vespasiano;Belo Horizonte; 2596132,09;NA; 2
315670;3156700;Sabará;Belo Horizonte; 2523965,67;NA; 2
312980;3129806;Ibirité;Belo Horizonte; 2170053,19;NA; 2
310900;3109006;Brumadinho;Belo Horizonte; 1988402,59;NA; 2
316935;3169356;Três Marias;Belo Horizonte; 1667558,99;NA; 2
313760;3137601;Lagoa Santa;Belo Horizonte; 1661109,71;NA; 2
312090;3120904;Curvelo;Belo Horizonte; 1480513,11;NA; 2
314930;3149309;Pedro Leopoldo;Belo Horizonte; 1437172,46;NA; 2
313665;3136652;Juatuba;Belo Horizonte; 1201844,78;NA; 2
311787;3117876;Confins;Belo Horizonte; 1058291,04;NA; 2
314110;3141108;Matozinhos;Belo Horizonte; 1003317,43;NA; 2
316553;3165537;Sarzedo;Belo Horizonte;  895022,72;NA; 2
311750;3117504;Conceição do Mato Dentro;Belo Horizonte;  810998,61;NA; 2
315720;3157203;Santa Bárbara;Belo Horizonte;  765975,10;NA; 2
310540;3105400;Barão de Cocais;Belo Horizonte;  727192,66;NA; 2
314070;3140704;Mateus Leme;Belo Horizonte;  692348,62;NA; 2
312410;3124104;Esmeraldas;Belo Horizonte;  676032,25;NA; 2
313010;3130101;Igarapé;Belo Horizonte;  648110,57;NA; 2
311535;3115359;Catas Altas;Belo Horizonte;  609951,74;NA; 2
316292;3162922;São Joaquim de Bicas;Belo Horizonte;  602734,88;NA; 2
311000;3110004;Caeté;Belo Horizonte;  577870,28;NA; 2
314740;3147402;Paraopeba;Belo Horizonte;  565326,41;NA; 2
316295;3162955;São José da Lapa;Belo Horizonte;  490793,37;NA; 2
311910;3119104;Corinto;Belo Horizonte;  316785,68;NA; 2
315390;3153905;Raposos;Belo Horizonte;  297988,73;NA; 2
310990;3109907;Caetanópolis;Belo Horizonte;  252699,57;NA; 2
312570;3125705;Felixlândia;Belo Horizonte;  209566,36;NA; 2
313460;3134608;Jaboticatubas;Belo Horizonte;  205294,85;NA; 2
315800;3158003;Santa Maria de Itabira;Belo Horizonte;  165415,83;NA; 2
314015;3140159;Mário Campos;Belo Horizonte;  154894,20;NA; 2
315360;3153608;Prudente de Morais;Belo Horizonte;  144528,15;NA; 2
315480;3154804;Rio Acima;Belo Horizonte;  131635,16;NA; 2
310920;3109204;Buenópolis;Belo Horizonte;  115277,27;NA; 2
312590;3125903;Ferros;Belo Horizonte;  110648,23;NA; 2
312600;3126000;Florestal;Belo Horizonte;  110059,37;NA; 2
310500;3105004;Baldim;Belo Horizonte;  107640,02;NA; 2
313100;3131000;Inhaúma;Belo Horizonte;   99775,58;NA; 2
311890;3118908;Cordisburgo;Belo Horizonte;   92742,43;NA; 2
313570;3135704;Jequitibá;Belo Horizonte;   89206,75;NA; 2
311250;3112505;Capim Branco;Belo Horizonte;   86153,30;NA; 2
315850;3158508;Santana de Pirapama;Belo Horizonte;   83331,95;NA; 2
313660;3136603;Nova União;Belo Horizonte;   82160,37;NA; 2
313110;3131109;Inimutaba;Belo Horizonte;   79701,50;NA; 2
310770;3107703;Bom Jesus do Amparo;Belo Horizonte;   75714,47;NA; 2
310480;3104809;Augusto de Lima;Belo Horizonte;   64566,47;NA; 2
315900;3159001;Santana do Riacho;Belo Horizonte;   61250,11;NA; 2
314230;3142304;Moeda;Belo Horizonte;   59008,28;NA; 2
310320;3103207;Araçaí;Belo Horizonte;   58023,61;NA; 2
312720;3127206;Funilândia;Belo Horizonte;   51672,87;NA; 2
314360;3143609;Morro da Garça;Belo Horizonte;   47266,12;NA; 2
316830;3168309;Taquaraçu de Minas;Belo Horizonte;   47234,01;NA; 2
315320;3153202;Presidente Juscelino;Belo Horizonte;   42502,32;NA; 2
