IBGE2;IBGE;Município;População;Ano;PIB;PIB per capita
10;310010;Abadia dos Dourados;6972;2017;33.389.769,00;4.789,12
20;310020;Abaeté;23223;2017;96.201.158,00;4.142,49
30;310030;Abre Campo;13465;2017;29.149.429,00;2.164,83
40;310040;Acaiaca;3994;2017;2.521.892,00;631,42
50;310050;Açucena;9575;2017;15.250.077,00;1.592,70
60;310060;Água Boa;13600;2017;29.988.906,00;2.205,07
70;310070;Água Comprida;2005;2017;74.771.408,00;37.292,47
80;310080;Aguanil;4448;2017;15.444.038,00;3.472,13
90;310090;Águas Formosas;19166;2017;11.236.696,00;586,28
100;310100;Águas Vermelhas;13477;2017;48.088.397,00;3.568,18
110;310110;Aimorés;25193;2017;40.978.913,00;1.626,60
120;310120;Aiuruoca;6032;2017;18.070.063,00;2.995,70
130;310130;Alagoa;2683;2017;6.253.506,00;2.330,79
140;310140;Albertina;3003;2017;9.281.144,00;3.090,62
150;310150;Além Paraíba;35321;2017;7.177.987,00;203,22
160;310160;Alfenas;79481;2017;113.273.452,00;1.425,16
163;310163;Alfredo Vasconcelos;6831;2017;18.120.398,00;2.652,67
170;310170;Almenara;41642;2017;14.643.130,00;351,64
180;310180;Alpercata;7411;2017;5.181.868,00;699,21
190;310190;Alpinópolis;19745;2017;65.873.757,00;3.336,22
200;310200;Alterosa;14414;2017;46.020.260,00;3.192,75
205;310205;Alto Caparaó;5799;2017;13.254.901,00;2.285,72
210;310210;Alto Rio Doce;11146;2017;60.555.391,00;5.432,93
220;310220;Alvarenga;3973;2017;5.201.999,00;1.309,34
230;310230;Alvinópolis;15239;2017;20.876.260,00;1.369,92
240;310240;Alvorada de Minas;3606;2017;5.926.838,00;1.643,60
250;310250;Amparo do Serra;4751;2017;5.807.378,00;1.222,35
260;310260;Andradas;40747;2017;70.406.985,00;1.727,91
270;310270;Cachoeira de Pajeú;9382;2017;3.782.495,00;403,17
280;310280;Andrelândia;12242;2017;42.313.887,00;3.456,45
285;310285;Angelândia;8481;2017;15.481.779,00;1.825,47
290;310290;Antônio Carlos;11432;2017;20.683.187,00;1.809,24
300;310300;Antônio Dias;9363;2017;21.966.457,00;2.346,09
310;310310;Antônio Prado de Minas;1609;2017;2.444.453,00;1.519,24
320;310320;Araçaí;2341;2017;12.038.085,00;5.142,28
330;310330;Aracitaba;2066;2017;2.625.411,00;1.270,77
340;310340;Araçuaí;36705;2017;12.817.508,00;349,20
350;310350;Araguari;116691;2017;266.428.189,00;2.283,19
360;310360;Arantina;2804;2017;15.908.545,00;5.673,52
370;310370;Araponga;8425;2017;29.127.808,00;3.457,31
375;310375;Araporã;6804;2017;44.734.499,00;6.574,74
380;310380;Arapuá;2833;2017;11.895.224,00;4.198,81
390;310390;Araújos;9142;2017;111.981.239,00;12.249,10
400;310400;Araxá;105083;2017;89.070.627,00;847,62
410;310410;Arceburgo;10657;2017;14.030.763,00;1.316,58
420;310420;Arcos;39793;2017;32.388.231,00;813,92
430;310430;Areado;14955;2017;38.594.152,00;2.580,69
440;310440;Argirita;2751;2017;4.090.949,00;1.487,08
445;310445;Aricanduva;5191;2017;9.309.704,00;1.793,43
450;310450;Arinos;17888;2017;40.624.199,00;2.271,03
460;310460;Astolfo Dutra;14085;2017;24.621.467,00;1.748,06
470;310470;Ataléia;13064;2017;25.662.266,00;1.964,35
480;310480;Augusto de Lima;4888;2017;8.783.348,00;1.796,92
490;310490;Baependi;19094;2017;20.893.866,00;1.094,26
500;310500;Baldim;7851;2017;13.467.232,00;1.715,35
510;310510;Bambuí;23757;2017;118.186.115,00;4.974,79
520;310520;Bandeira;4825;2017;8.157.208,00;1.690,61
530;310530;Bandeira do Sul;5713;2017;2.880.551,00;504,21
540;310540;Barão de Cocais;32319;2017;9.429.857,00;291,77
550;310550;Barão de Monte Alto;5443;2017;4.506.502,00;827,94
560;310560;Barbacena;136392;2017;91.839.761,00;673,35
570;310570;Barra Longa;5250;2017;9.941.414,00;1.893,60
590;310590;Barroso;20720;2017;2.458.784,00;118,67
