IBGE2;IBGE;Munic;População;Ano;PIB;Intermediaria
  10;310010;Abadia dos Dourados;   6972;2017; 33389769;Uberlândia
  20;310020;Abaeté;  23223;2017; 96201158;Divinópolis
  30;310030;Abre Campo;  13465;2017; 29149429;Juíz de Fora
  40;310040;Acaiaca;   3994;2017;  2521892;Juíz de Fora
  50;310050;Açucena;   9575;2017; 15250077;Ipatinga
  60;310060;Água Boa;  13600;2017; 29988906;Teófilo Otoni
  70;310070;Água Comprida;   2005;2017; 74771408;Uberaba
  80;310080;Aguanil;   4448;2017; 15444038;Varginha
  90;310090;Águas Formosas;  19166;2017; 11236696;Teófilo Otoni
 100;310100;Águas Vermelhas;  13477;2017; 48088397;Teófilo Otoni
 110;310110;Aimorés;  25193;2017; 40978913;Governador Valadares
 120;310120;Aiuruoca;   6032;2017; 18070063;Pouso Alegre
 130;310130;Alagoa;   2683;2017;  6253506;Pouso Alegre
 140;310140;Albertina;   3003;2017;  9281144;Pouso Alegre
 150;310150;Além Paraíba;  35321;2017;  7177987;Juíz de Fora
 160;310160;Alfenas;  79481;2017;113273452;Varginha
 163;310163;Alfredo Vasconcelos;   6831;2017; 18120398;Barbacena
 170;310170;Almenara;  41642;2017; 14643130;Teófilo Otoni
 180;310180;Alpercata;   7411;2017;  5181868;Governador Valadares
 190;310190;Alpinópolis;  19745;2017; 65873757;Varginha
 200;310200;Alterosa;  14414;2017; 46020260;Varginha
 205;310205;Alto Caparaó;   5799;2017; 13254901;Juíz de Fora
 210;310210;Alto Rio Doce;  11146;2017; 60555391;Barbacena
 220;310220;Alvarenga;   3973;2017;  5201999;Ipatinga
 230;310230;Alvinópolis;  15239;2017; 20876260;Juíz de Fora
 240;310240;Alvorada de Minas;   3606;2017;  5926838;Teófilo Otoni
 250;310250;Amparo do Serra;   4751;2017;  5807378;Juíz de Fora
 260;310260;Andradas;  40747;2017; 70406985;Pouso Alegre
 270;310270;Cachoeira de Pajeú;   9382;2017;  3782495;Teófilo Otoni
 280;310280;Andrelândia;  12242;2017; 42313887;Juíz de Fora
 285;310285;Angelândia;   8481;2017; 15481779;Teófilo Otoni
 290;310290;Antônio Carlos;  11432;2017; 20683187;Barbacena
 300;310300;Antônio Dias;   9363;2017; 21966457;Ipatinga
 310;310310;Antônio Prado de Minas;   1609;2017;  2444453;Juíz de Fora
 320;310320;Araçaí;   2341;2017; 12038085;Belo Horizonte
 330;310330;Aracitaba;   2066;2017;  2625411;Juíz de Fora
 340;310340;Araçuaí;  36705;2017; 12817508;Teófilo Otoni
 350;310350;Araguari; 116691;2017;266428189;Uberlândia
 360;310360;Arantina;   2804;2017; 15908545;Juíz de Fora
 370;310370;Araponga;   8425;2017; 29127808;Juíz de Fora
 375;310375;Araporã;   6804;2017; 44734499;Uberlândia
 380;310380;Arapuá;   2833;2017; 11895224;Patos de Minas
 390;310390;Araújos;   9142;2017;111981239;Divinópolis
 400;310400;Araxá; 105083;2017; 89070627;Uberaba
 410;310410;Arceburgo;  10657;2017; 14030763;Varginha
 420;310420;Arcos;  39793;2017; 32388231;Divinópolis
 430;310430;Areado;  14955;2017; 38594152;Varginha
 440;310440;Argirita;   2751;2017;  4090949;Juíz de Fora
 445;310445;Aricanduva;   5191;2017;  9309704;Teófilo Otoni
 450;310450;Arinos;  17888;2017; 40624199;Patos de Minas
 460;310460;Astolfo Dutra;  14085;2017; 24621467;Juíz de Fora
 470;310470;Ataléia;  13064;2017; 25662266;Teófilo Otoni
 480;310480;Augusto de Lima;   4888;2017;  8783348;Belo Horizonte
 490;310490;Baependi;  19094;2017; 20893866;Pouso Alegre
 500;310500;Baldim;   7851;2017; 13467232;Belo Horizonte
 510;310510;Bambuí;  23757;2017;118186115;Divinópolis
 520;310520;Bandeira;   4825;2017;  8157208;Teófilo Otoni
 530;310530;Bandeira do Sul;   5713;2017;  2880551;Pouso Alegre
 540;310540;Barão de Cocais;  32319;2017;  9429857;Belo Horizonte
 550;310550;Barão de Monte Alto;   5443;2017;  4506502;Juíz de Fora
