IBGE2;Município;Transf_Correntes;Transf_Capital;Receita_Total
  10;ABADIA DOS DOURADOS;  19402798;  577395,50;  19980193
  20;ABAETÉ;  40678385; 2883342,41;  43561727
  30;ABRE CAMPO;  26533903; 2896970,33;  29430873
  40;ACAIACA;  13618482;  212800,84;  13831282
  50;AÇUCENA;  17261215; 1134475,00;  18395690
  60;ÁGUA BOA;  26623472; 1292944,78;  27916417
  70;ÁGUA COMPRIDA;  16617125;  810281,82;  17427407
  80;AGUANIL;  13477578;  716875,46;  14194453
  90;ÁGUAS FORMOSAS;  37429465;       0,00;  37429465
 100;ÁGUAS VERMELHAS;  24091437;  250000,00;  24341437
 110;AIMORÉS;  49518235;  501017,27;  50019252
 120;AIURUOCA;  15686791;  347358,28;  16034149
 130;ALAGOA;  13048190;       0,00;  13048190
 140;ALBERTINA;  13012592;   28875,00;  13041467
 150;ALÉM PARAÍBA;  59781638; 5499867,21;  65281505
 160;ALFENAS; 177870052; 1835760,40; 179705812
 163;ALFREDO VASCONCELOS;  15214835;  843837,52;  16058672
 170;ALMENARA;  66044054;  124880,88;  66168935
 180;ALPERCATA;  17837582;       0,00;  17837582
 190;ALPINÓPOLIS;  34416676; 1001825,21;  35418502
 200;ALTEROSA;  29432776; 1062870,01;  30495646
 205;ALTO CAPARAÓ;  15364883;  232390,07;  15597273
5350;ALTO JEQUITIBÁ;  16460709;  937918,58;  17398628
 210;ALTO RIO DOCE;  18996095;       0,00;  18996095
 220;ALVARENGA;  13630211;  821025,00;  14451236
 230;ALVINÓPOLIS;  28107931; 1238462,77;  29346394
 240;ALVORADA DE MINAS;  19111744; 1189344,89;  20301089
 250;AMPARO DO SERRA;  13891152;  745599,15;  14636751
 260;ANDRADAS;  64967825; 1365715,44;  66333540
 280;ANDRELÂNDIA;  24985056;  304431,17;  25289487
 285;ANGELÂNDIA;  18989714; 1349924,56;  20339639
 290;ANTÔNIO CARLOS;  21792053;       0,00;  21792053
 300;ANTÔNIO DIAS;  23340235;  595576,45;  23935812
 310;ANTÔNIO PRADO DE MINAS;  12012586;       0,00;  12012586
 320;ARAÇAÍ;  12925092;  473500,00;  13398592
 330;ARACITABA;  11513329;  100000,00;  11613329
 340;ARAÇUAÍ;  56992445; 1763676,22;  58756121
 350;ARAGUARI; 210798798; 2065225,77; 212864023
 360;ARANTINA;  13105843;  417000,00;  13522843
 370;ARAPONGA;  16761540; 1308746,94;  18070287
 375;ARAPORÃ;  50211181; 1270216,00;  51481397
 380;ARAPUÁ;  13629655;       0,00;  13629655
 390;ARAÚJOS;  20019122;       0,00;  20019122
 400;ARAXÁ; 351659578; 6568108,04; 358227686
 410;ARCEBURGO;  26387351;  125523,12;  26512874
 420;ARCOS;  86251510; 2431934,87;  88683444
 430;AREADO;  28319694;  389605,50;  28709299
 440;ARGIRITA;NA;NA;         0
 445;ARICANDUVA;  14936577;  526133,74;  15462710
 450;ARINOS;  36437866; 5273143,10;  41711009
 460;ASTOLFO DUTRA;  27556834;  822936,94;  28379771
 470;ATALÉIA;  25818761;  260667,27;  26079428
 480;AUGUSTO DE LIMA;  15341162;  437622,32;  15778785
 490;BAEPENDI;  40729830;  796614,88;  41526445
 500;BALDIM;  17085651;  224973,67;  17310625
 510;BAMBUÍ;  44322283; 1039215,79;  45361499
 520;BANDEIRA;  15014006; 2278590,00;  17292596
 530;BANDEIRA DO SUL;  14374465;  417875,00;  14792340
 540;BARÃO DE COCAIS;  87658867;  420000,00;  88078867
 550;BARÃO DE MONTE ALTO;  16363904; 1174623,03;  17538527
 560;BARBACENA; 191141016; 8201891,94; 199342908
 570;BARRA LONGA;  13700016; 1069171,99;  14769188
 590;BARROSO;  39933706; 1389710,61;  41323417
 600;BELA VISTA DE MINAS;  27143295;  580152,22;  27723447
 610;BELMIRO BRAGA;  14607166;   95000,00;  14702166
 620;BELO HORIZONTE;4292017128;39648375,74;4331665504
 630;BELO ORIENTE;  66698036;  343095,99;  67041132
 640;BELO VALE;  37583136; 1233065,90;  38816201
 650;BERILO;  21428026;  291511,76;  21719538
 665;BERIZAL;  13629370;  299950,00;  13929320
 660;BERTÓPOLIS;  12935526;   22988,89;  12958515
 670;BETIM;1231994059; 2872950,00;1234867009
 680;BIAS FORTES;  12361283;  274717,33;  12636000
 690;BICAS;  28941518; 1115280,68;  30056798
 700;BIQUINHAS;NA;NA;         0
 710;BOA ESPERANÇA;NA;NA;         0
 720;BOCAINA DE MINAS;  14382346;  278535,42;  14660882
 730;BOCAIÚVA;  76371068;  993739,48;  77364807
 740;BOM DESPACHO;  73172335; 1827414,40;  74999750
 750;BOM JARDIM DE MINAS;  16668660;  199719,32;  16868379
 760;BOM JESUS DA PENHA;  15738127;  144000,00;  15882127
 770;BOM JESUS DO AMPARO;  15183732;  124900,00;  15308632
 780;BOM JESUS DO GALHO;  26332902;  242950,20;  26575852
 790;BOM REPOUSO;  23421428;  679220,68;  24100648
 800;BOM SUCESSO;  31795751;  366233,01;  32161984
 810;BONFIM;  15851389;  539480,00;  16390869
 820;BONFINÓPOLIS DE MINAS;  21528722; 1140585,96;  22669308
 825;BONITO DE MINAS;  23539403; 1211715,10;  24751118
 830;BORDA DA MATA;  34211356; 1093317,52;  35304674
 840;BOTELHOS;  27294836;  237650,00;  27532486
 850;BOTUMIRIM;  15410074;  403185,64;  15813260
 870;BRÁS PIRES;  13781270;  102325,97;  13883595
 855;BRASILÂNDIA DE MINAS;  28384545;  983525,00;  29368070
 860;BRASÍLIA DE MINAS;  60293641; 1562616,34;  61856257
 890;BRASÓPOLIS;  23802556; 1292267,18;  25094823
 880;BRAÚNAS;  16744684;  222925,00;  16967609
 900;BRUMADINHO; 162223126;  837529,44; 163060655
